"","Rank","Track","Artist","Streams","Date"
"1",1,"At My Worst","Pink Sweat$",345103,2021-01-07
"2",2,"Bertaut","Nadin Amizah",309487,2021-01-07
"3",3,"Snowman","Sia",264277,2021-01-07
"4",4,"Blue Jeans","GANGGA",253654,2021-01-07
"5",5,"Melukis Senja","Budi Doremi",252445,2021-01-07
"6",6,"Mungkin Hari Ini Esok Atau Nanti","Anneth",235751,2021-01-07
"7",7,"34+35","Ariana Grande",201938,2021-01-07
"8",8,"Life Goes On","BTS",177384,2021-01-07
"9",9,"Cuek","Rizky Febian",175481,2021-01-07
"10",10,"Dynamite","BTS",154176,2021-01-07
"11",11,"I Just Couldn't Save You Tonight (feat. Aurélie) - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",148061,2021-01-07
"12",12,"Resah Jadi Luka","Daun Jatuh",140393,2021-01-07
"13",13,"Anyone","Justin Bieber",139386,2021-01-07
"14",14,"Maafkan Aku #terlanjurmencinta","Tiara Andini",137210,2021-01-07
"15",15,"Heather","Conan Gray",136988,2021-01-07
"16",16,"Sofia","Clairo",135261,2021-01-07
"17",17,"positions","Ariana Grande",135053,2021-01-07
"18",18,"happy","Skinnyfabs",133583,2021-01-07
"19",19,"Sudah - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",130433,2021-01-07
"20",20,"Into Your Arms (feat. Ava Max)","Witt Lowry",125596,2021-01-07
"21",21,"Makna Cinta","Rizky Febian",123034,2021-01-07
"22",22,"Before You Go","Lewis Capaldi",116537,2021-01-07
"23",23,"Stuck with U (with Justin Bieber)","Ariana Grande",109117,2021-01-07
"24",24,"Kukira Kau Rumah","Amigdala",106039,2021-01-07
"25",25,"Lonely (with benny blanco)","Justin Bieber",105599,2021-01-07
"26",26,"One Only","Pamungkas",102251,2021-01-07
"27",27,"Blueberry Eyes (feat. SUGA of BTS)","MAX",102140,2021-01-07
"28",28,"Lose","NIKI",100747,2021-01-07
"29",29,"Monolog","Pamungkas",97143,2021-01-07
"30",30,"Bahasa Kalbu","Raisa, Andi Rianto",96589,2021-01-07
"31",31,"Lovesick Girls","BLACKPINK",95413,2021-01-07
"32",32,"Kenangan Manis","Pamungkas",94591,2021-01-07
"33",33,"you broke me first","Tate McRae",94143,2021-01-07
"34",34,"Backyard Boy (with Jeremy Zucker)","Claire Rosinkranz",89121,2021-01-07
"35",35,"Someone You Loved","Lewis Capaldi",88868,2021-01-07
"36",36,"Reflection - From ""Mulan""","Yura Yunita, SIVIA, Agatha Pricilla, Nadin Amizah",88450,2021-01-07
"37",37,"Pura Pura Lupa","Mahen",87404,2021-01-07
"38",38,"Luka Yang Kurindu","Mahen",86051,2021-01-07
"39",39,"Kau Lagi","Celine & Nadya",85788,2021-01-07
"40",40,"Secukupnya","Hindia",84080,2021-01-07
"41",41,"Mood (feat. iann dior)","24kGoldn",82877,2021-01-07
"42",42,"Adaptasi","Tulus",82737,2021-01-07
"43",43,"Monster (Shawn Mendes & Justin Bieber)","Shawn Mendes",81968,2021-01-07
"44",44,"Waktu Yang Salah","Fiersa Besari, Thantri Sundari",81269,2021-01-07
"45",45,"Sesuatu Di Jogja","Adhitia Sofyan",78493,2021-01-07
"46",46,"Tanpa Batas Waktu - 8D Version","Ade Govinda, Fadly",76814,2021-01-07
"47",47,"I Love You but I'm Letting Go","Pamungkas",75791,2021-01-07
"48",48,"bitterlove","Ardhito Pramono",72373,2021-01-07
"49",49,"Pelukku Untuk Pelikmu - OST Imperfect: Karier, Cinta, & Timbangan","Fiersa Besari",70193,2021-01-07
"50",50,"Heartbreak Anniversary","Giveon",68605,2021-01-07
"51",51,"Black Mamba","aespa",68072,2021-01-07
"52",52,"What You Know Bout Love","Pop Smoke",67243,2021-01-07
"53",53,"I Still Love You","TheOvertunes",64244,2021-01-07
"54",54,"Figurinha - Ao Vivo","Douglas & Vinicius, MC Bruninho",63045,2021-01-07
"55",55,"Mad at Disney","salem ilese",62847,2021-01-07
"56",56,"Rumah Ke Rumah","Hindia",62012,2021-01-07
"57",57,"Memories","Maroon 5",60467,2021-01-07
"58",58,"lowkey","NIKI",59064,2021-01-07
"59",59,"Selaras","Kunto Aji, Nadin Amizah",58864,2021-01-07
"60",60,"How You Like That","BLACKPINK",58291,2021-01-07
"61",61,"Day & Night","Jung Seung Hwan",56716,2021-01-07
"62",62,"LATHI (with Sara Fajira)","Weird Genius",56549,2021-01-07
"63",63,"Closure","Pamungkas",56460,2021-01-07
"64",64,"Ekspektasi","Okin, Ocan Siagian",56355,2021-01-07
"65",65,"willow","Taylor Swift",55158,2021-01-07
"66",66,"Mariposa","Peach Tree Rascals",54176,2021-01-07
"67",67,"Tolong","Budi Doremi",54039,2021-01-07
"68",68,"You Got It","Vedo",53279,2021-01-07
"69",69,"La La Lost You - Acoustic Version","NIKI, 88rising",53077,2021-01-07
"70",70,"Bentuk Cinta","Eclat Story",52224,2021-01-07
"71",71,"Aku Yang Salah","Elmatu",51740,2021-01-07
"72",72,"Rehat","Kunto Aji",51260,2021-01-07
"73",73,"Ice Cream (with Selena Gomez)","BLACKPINK",51133,2021-01-07
"74",74,"Terlalu Cinta","Rossa",51010,2021-01-07
"75",75,"Psycho","Red Velvet",50780,2021-01-07
"76",76,"Hey Stupid, I Love You","JP Saxe",50537,2021-01-07
"77",77,"Rumpang","Nadin Amizah",50492,2021-01-07
"78",78,"Tanpa Tergesa","Juicy Luicy",50256,2021-01-07
"79",79,"Fly Me to the Moon","The Macarons Project",49989,2021-01-07
"80",80,"Make A Wish (Birthday Song)","NCT U",49311,2021-01-07
"81",81,"Adu Rayu","Yovie Widianto, Tulus, Glenn Fredly",48879,2021-01-07
"82",82,"Afterglow","Ed Sheeran",48814,2021-01-07
"83",83,"if u could see me cryin' in my room","Arash Buana, raissa anggiani",48793,2021-01-07
"84",84,"I Love You 3000","Stephanie Poetri",48523,2021-01-07
"85",85,"To the Bone","Pamungkas",47807,2021-01-07
"86",86,"Sorai","Nadin Amizah",47415,2021-01-07
"87",87,"Tanya Hati","Pasto",46866,2021-01-07
"88",88,"Don't Watch Me Cry","Alex Porat",46810,2021-01-07
"89",89,"Perlahan","Guyon Waton",46609,2021-01-07
"90",90,"Sedang Sayang Sayangnya","Mawar de Jongh",46518,2021-01-07
"91",91,"Celengan Rindu","Fiersa Besari",46179,2021-01-07
"92",92,"90's Love","NCT U",46108,2021-01-07
"93",93,"Di Persimpangan Dilema","Terry",46104,2021-01-07
"94",94,"Intentions (feat. Quavo)","Justin Bieber",45892,2021-01-07
"95",95,"Lebih Dari Egoku","Mawar de Jongh",45392,2021-01-07
"96",96,"I CAN'T STOP ME","TWICE",45257,2021-01-07
"97",97,"eight(Prod.&Feat. SUGA of BTS)","IU",45176,2021-01-07
"98",98,"Train Wreck","James Arthur",45141,2021-01-07
"99",99,"Savage Love (Laxed – Siren Beat) [BTS Remix]","Jawsh 685, Jason Derulo",45111,2021-01-07
"100",100,"comethru","Jeremy Zucker",45017,2021-01-07
"101",101,"Hal Indah Butuh Waktu Untuk Datang","Idgitaf",45011,2021-01-07
"102",102,"Sweet Scar","Weird Genius, Prince Husein, Eka Gustiwana, Reza Oktovian, Billy Taner",44957,2021-01-07
"103",103,"Okay Dokey","MINO, ZICO",44357,2021-01-07
"104",104,"Copines","Aya Nakamura",44224,2021-01-07
"105",105,"Boy With Luv (feat. Halsey)","BTS",44049,2021-01-07
"106",106,"Good Days","SZA",43877,2021-01-07
"107",107,"Garis Terdepan","Fiersa Besari",43557,2021-01-07
"108",108,"Untuk Perempuan Yang Sedang Di Pelukan","Payung Teduh",42839,2021-01-07
"109",109,"Lara","Dialog Senja",42821,2021-01-07
"110",110,"Future","Red Velvet",42767,2021-01-07
"111",111,"Kamu dan Kenangan - Original Soundtrack Habibie & Ainun 3","Maudy Ayunda",42729,2021-01-07
"112",112,"Bicara (feat. Monita Tahalea)","TheOvertunes",42544,2021-01-07
"113",113,"2002","Anne-Marie",42057,2021-01-07
"114",114,"Running","Gaho",41893,2021-01-07
"115",115,"Cinta Luar Biasa","Andmesh",41860,2021-01-07
"116",116,"Weak","SWV",41741,2021-01-07
"117",117,"death bed (coffee for your head)","Powfu, beabadoobee",41556,2021-01-07
"118",118,"Selamat (Selamat Tinggal)","Virgoun, Audy",41529,2021-01-07
"119",119,"Melawan Hati","Fiersa Besari, Prinsa Mandagie",41480,2021-01-07
"120",120,"Say You Won't Let Go","James Arthur",41416,2021-01-07
"121",121,"Halu","FePutri",41189,2021-01-07
"122",122,"April","Fiersa Besari",40718,2021-01-07
"123",123,"Mantra Cinta","Rizky Febian",40430,2021-01-07
"124",124,"Dan...","Sheila On 7",40335,2021-01-07
"125",125,"Bad Liar","Imagine Dragons",39790,2021-01-07
"126",126,"Rayu","Marion Jola, Laleilmanino",39748,2021-01-07
"127",127,"Kenangan Terindah","SAMSONS",39609,2021-01-07
"128",128,"Pretty Savage","BLACKPINK",39393,2021-01-07
"129",129,"Best Part (feat. Daniel Caesar)","H.E.R.",39333,2021-01-07
"130",130,"Kangen","Dewa 19",39235,2021-01-07
"131",131,"Play Date","Melanie Martinez",39127,2021-01-07
"132",132,"10,000 Hours (with Justin Bieber)","Dan + Shay",38866,2021-01-07
"133",133,"Monokrom","Tulus",38014,2021-01-07
"134",134,"Dekat Di Hati","RAN",37660,2021-01-07
"135",135,"Blue & Grey","BTS",37178,2021-01-07
"136",136,"Tak Sanggup Melupa #terlanjurmencinta","Ziva Magnolya",36994,2021-01-07
"137",137,"Sorry","Pamungkas",36616,2021-01-07
"138",138,"Night Changes","One Direction",36537,2021-01-07
"139",139,"Ruang Rindu","Letto",36455,2021-01-07
"140",140,"It's You","Ali Gatie",36279,2021-01-07
"141",141,"Mmmh","KAI",36036,2021-01-07
"142",142,"Therefore I Am","Billie Eilish",35763,2021-01-07
"143",143,"Some","BOL4",35491,2021-01-07
"144",144,"Harusnya Aku","Armada",35410,2021-01-07
"145",145,"I Like Me Better","Lauv",35282,2021-01-07
"146",146,"pov","Ariana Grande",35219,2021-01-07
"147",147,"Cinta Dan Rahasia","Yura Yunita, Glenn Fredly",35129,2021-01-07
"148",148,"Takkan Terganti","Marcell",35086,2021-01-07
"149",149,"Kartonyono Medot Janji","Denny Caknan",34988,2021-01-07
"150",150,"Nyaman","Andmesh",34947,2021-01-07
"151",151,"Langit Abu-Abu","Tulus",34884,2021-01-07
"152",152,"Indah Pada Waktunya","Rizky Febian, Aisyah Aziz",34808,2021-01-07
"153",153,"Januari","Glenn Fredly",34657,2021-01-07
"154",154,"cigarettes of ours","Ardhito Pramono",34581,2021-01-07
"155",155,"Fana Merah Jambu","Fourtwnty",34458,2021-01-07
"156",156,"Membasuh","Hindia, Rara Sekar",34353,2021-01-07
"157",157,"I Like You so Much, You’ll Know It","AVIWKILA",34335,2021-01-07
"158",158,"RESONANCE","NCT 2020",34137,2021-01-07
"159",159,"Holy (feat. Chance The Rapper)","Justin Bieber",34130,2021-01-07
"160",160,"Wonder","Shawn Mendes",34068,2021-01-07
"161",161,"Tukar Jiwa","Tulus",33902,2021-01-07
"162",162,"Best Friend","Rex Orange County",33827,2021-01-07
"163",163,"Strawberries & Cigarettes","Troye Sivan",33818,2021-01-07
"164",164,"Pilu Membiru","Kunto Aji",33716,2021-01-07
"165",165,"If the World Was Ending - feat. Julia Michaels","JP Saxe",33475,2021-01-07
"166",166,"Jangan Rubah Takdirku","Andmesh",33459,2021-01-07
"167",167,"I.F.L.Y.","Bazzi",33342,2021-01-07
"168",168,"Soulmate","Kahitna",33268,2021-01-07
"169",169,"lovely (with Khalid)","Billie Eilish",33141,2021-01-07
"170",170,"Amin Paling Serius","Sal Priadi, Nadin Amizah",33112,2021-01-07
"171",171,"From Home","NCT U",33036,2021-01-07
"172",172,"Señorita","Shawn Mendes, Camila Cabello",32954,2021-01-07
"173",173,"Given-Taken","ENHYPEN",32713,2021-01-07
"174",174,"Rindu Dalam Hati","Arsy Widianto, Brisia Jodie",32541,2021-01-07
"175",175,"NUNU NANA","Jessi",32458,2021-01-07
"176",176,"Not Shy","ITZY",32455,2021-01-07
"177",177,"You","Ten2Five",32366,2021-01-07
"178",178,"Location Unknown <U+25D0> (feat. BEKA) - Brooklyn Session","HONNE",32356,2021-01-07
"179",179,"You Are The Reason","Calum Scott",32284,2021-01-07
"180",180,"Make You Mine","PUBLIC",32129,2021-01-07
"181",181,"Hampa","Ari Lasso",32043,2021-01-07
"182",182,"Too Good At Goodbyes","Sam Smith",31883,2021-01-07
"183",183,"My Everything","NCT U",31717,2021-01-07
"184",184,"Dancing in My Room","347aidan",31579,2021-01-07
"185",185,"Be Alright","Dean Lewis",31552,2021-01-07
"186",186,"Hitam Putih","Fourtwnty",31441,2021-01-07
"187",187,"Bad Liar","Anna Hamilton",31416,2021-01-07
"188",188,"Panorama","IZ*ONE",31396,2021-01-07
"189",189,"MAGO","GFRIEND",31273,2021-01-07
"190",190,"Genius (feat. Sia, Diplo, and Labrinth)","Sia, LSD",31189,2021-01-07
"191",191,"Beranjak Dewasa","Nadin Amizah",30919,2021-01-07
"192",192,"When You Love Someone","Endah N Rhesa",30802,2021-01-07
"193",193,"Sunday Best","Surfaces",30786,2021-01-07
"194",194,"fine today (Nanti Kita Cerita Tentang Hari Ini - Original Motion Picture Soundtrack)","Ardhito Pramono",30727,2021-01-07
"195",195,"Sekali Ini Saja","Glenn Fredly",30663,2021-01-07
"196",196,"Zona Nyaman (From ""Filosofi Kopi 2: Ben & Jody"")","Fourtwnty",30568,2021-01-07
"197",197,"Kala Cinta Menggoda","Noah",30422,2021-01-07
"198",198,"Levitating (feat. DaBaby)","Dua Lipa",30388,2021-01-07
"199",199,"Can't Take My Eyes Off You","Joseph Vincent",30309,2021-01-07
"200",200,"Hanya Rindu","Andmesh",30099,2021-01-07
"201",1,"At My Worst","Pink Sweat$",321465,2021-01-14
"202",2,"Bertaut","Nadin Amizah",305647,2021-01-14
"203",3,"Blue Jeans","GANGGA",275359,2021-01-14
"204",4,"Mungkin Hari Ini Esok Atau Nanti","Anneth",260342,2021-01-14
"205",5,"drivers license","Olivia Rodrigo",247885,2021-01-14
"206",6,"Snowman","Sia",241635,2021-01-14
"207",7,"Melukis Senja","Budi Doremi",236732,2021-01-14
"208",8,"34+35","Ariana Grande",189979,2021-01-14
"209",9,"Life Goes On","BTS",172627,2021-01-14
"210",10,"Cuek","Rizky Febian",163963,2021-01-14
"211",11,"I Just Couldn't Save You Tonight (feat. Aurélie) - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",152933,2021-01-14
"212",12,"Dynamite","BTS",149397,2021-01-14
"213",13,"Heather","Conan Gray",146573,2021-01-14
"214",14,"happy","Skinnyfabs",136557,2021-01-14
"215",15,"Resah Jadi Luka","Daun Jatuh",135532,2021-01-14
"216",16,"Sofia","Clairo",131786,2021-01-14
"217",17,"positions","Ariana Grande",131560,2021-01-14
"218",18,"Maafkan Aku #terlanjurmencinta","Tiara Andini",129274,2021-01-14
"219",19,"Sudah - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",126818,2021-01-14
"220",20,"Into Your Arms (feat. Ava Max)","Witt Lowry",120407,2021-01-14
"221",21,"Makna Cinta","Rizky Febian",116822,2021-01-14
"222",22,"Anyone","Justin Bieber",114121,2021-01-14
"223",23,"Before You Go","Lewis Capaldi",111799,2021-01-14
"224",24,"Stuck with U (with Justin Bieber)","Ariana Grande",103203,2021-01-14
"225",25,"Kukira Kau Rumah","Amigdala",102697,2021-01-14
"226",26,"Bahasa Kalbu","Raisa, Andi Rianto",98316,2021-01-14
"227",27,"Lonely (with benny blanco)","Justin Bieber",97676,2021-01-14
"228",28,"One Only","Pamungkas",97145,2021-01-14
"229",29,"Blueberry Eyes (feat. SUGA of BTS)","MAX",95498,2021-01-14
"230",30,"Lose","NIKI",95142,2021-01-14
"231",31,"Monolog","Pamungkas",91454,2021-01-14
"232",32,"Kenangan Manis","Pamungkas",91375,2021-01-14
"233",33,"Lovesick Girls","BLACKPINK",89600,2021-01-14
"234",34,"Tanpa Batas Waktu - 8D Version","Ade Govinda, Fadly",85711,2021-01-14
"235",35,"Someone You Loved","Lewis Capaldi",85156,2021-01-14
"236",36,"Heartbreak Anniversary","Giveon",84987,2021-01-14
"237",37,"Backyard Boy (with Jeremy Zucker)","Claire Rosinkranz",84651,2021-01-14
"238",38,"Reflection - From ""Mulan""","Yura Yunita, SIVIA, Agatha Pricilla, Nadin Amizah",83462,2021-01-14
"239",39,"Luka Yang Kurindu","Mahen",82529,2021-01-14
"240",40,"Pura Pura Lupa","Mahen",82368,2021-01-14
"241",41,"Mood (feat. iann dior)","24kGoldn",81189,2021-01-14
"242",42,"Secukupnya","Hindia",79541,2021-01-14
"243",43,"Waktu Yang Salah","Fiersa Besari, Thantri Sundari",78308,2021-01-14
"244",44,"Kau Lagi","Celine & Nadya",78282,2021-01-14
"245",45,"Adaptasi","Tulus",77935,2021-01-14
"246",46,"Sesuatu Di Jogja","Adhitia Sofyan",74403,2021-01-14
"247",47,"you broke me first","Tate McRae",74249,2021-01-14
"248",48,"Good Days","SZA",74169,2021-01-14
"249",49,"I Love You but I'm Letting Go","Pamungkas",73295,2021-01-14
"250",50,"Monster (Shawn Mendes & Justin Bieber)","Shawn Mendes",72687,2021-01-14
"251",51,"Rumah Ke Rumah","Hindia",72520,2021-01-14
"252",52,"What You Know Bout Love","Pop Smoke",65912,2021-01-14
"253",53,"Katakan Saja","Khifnu",63529,2021-01-14
"254",54,"I Still Love You","TheOvertunes",61736,2021-01-14
"255",55,"Selaras","Kunto Aji, Nadin Amizah",61572,2021-01-14
"256",56,"bitterlove","Ardhito Pramono",60999,2021-01-14
"257",57,"Black Mamba","aespa",59820,2021-01-14
"258",58,"Copines","Aya Nakamura",58645,2021-01-14
"259",59,"Memories","Maroon 5",58016,2021-01-14
"260",60,"Pelukku Untuk Pelikmu - OST Imperfect: Karier, Cinta, & Timbangan","Fiersa Besari",57956,2021-01-14
"261",61,"Kamu dan Kenangan - Original Soundtrack Habibie & Ainun 3","Maudy Ayunda",57782,2021-01-14
"262",62,"How You Like That","BLACKPINK",54683,2021-01-14
"263",63,"Mad at Disney","salem ilese",54416,2021-01-14
"264",64,"Ekspektasi","Okin, Ocan Siagian",54280,2021-01-14
"265",65,"Day & Night","Jung Seung Hwan",54143,2021-01-14
"266",66,"lowkey","NIKI",53984,2021-01-14
"267",67,"Closure","Pamungkas",53894,2021-01-14
"268",68,"Figurinha - Ao Vivo","Douglas & Vinicius, MC Bruninho",53836,2021-01-14
"269",69,"MY TREASURE","TREASURE",53648,2021-01-14
"270",70,"Rumpang","Nadin Amizah",52325,2021-01-14
"271",71,"LATHI (with Sara Fajira)","Weird Genius",52131,2021-01-14
"272",72,"La La Lost You - Acoustic Version","NIKI, 88rising",50582,2021-01-14
"273",73,"willow","Taylor Swift",50467,2021-01-14
"274",74,"Aku Yang Salah","Elmatu",50061,2021-01-14
"275",75,"Make A Wish (Birthday Song)","NCT U",49282,2021-01-14
"276",76,"Sorai","Nadin Amizah",49142,2021-01-14
"277",77,"Terlalu Cinta","Rossa",49075,2021-01-14
"278",78,"Tanpa Tergesa","Juicy Luicy",48803,2021-01-14
"279",79,"You Got It","Vedo",48692,2021-01-14
"280",80,"Ice Cream (with Selena Gomez)","BLACKPINK",48486,2021-01-14
"281",81,"Rehat","Kunto Aji",48431,2021-01-14
"282",82,"Psycho","Red Velvet",48364,2021-01-14
"283",83,"Tolong","Budi Doremi",48253,2021-01-14
"284",84,"Train Wreck","James Arthur",47973,2021-01-14
"285",85,"Bentuk Cinta","Eclat Story",47935,2021-01-14
"286",86,"Adu Rayu","Yovie Widianto, Tulus, Glenn Fredly",47930,2021-01-14
"287",87,"if u could see me cryin' in my room","Arash Buana, raissa anggiani",47152,2021-01-14
"288",88,"90's Love","NCT U",46934,2021-01-14
"289",89,"2002","Anne-Marie",46672,2021-01-14
"290",90,"Tanya Hati","Pasto",46618,2021-01-14
"291",91,"Hey Stupid, I Love You","JP Saxe",46564,2021-01-14
"292",92,"To the Bone","Pamungkas",46501,2021-01-14
"293",93,"Di Persimpangan Dilema","Terry",45876,2021-01-14
"294",94,"Savage Love (Laxed – Siren Beat) [BTS Remix]","Jawsh 685, Jason Derulo",45266,2021-01-14
"295",95,"eight(Prod.&Feat. SUGA of BTS)","IU",44938,2021-01-14
"296",96,"Sedang Sayang Sayangnya","Mawar de Jongh",44502,2021-01-14
"297",97,"I Love You 3000","Stephanie Poetri",44415,2021-01-14
"298",98,"Celengan Rindu","Fiersa Besari",44215,2021-01-14
"299",99,"Garis Terdepan","Fiersa Besari",44170,2021-01-14
"300",100,"Boy With Luv (feat. Halsey)","BTS",43978,2021-01-14
"301",101,"Don't Watch Me Cry","Alex Porat",43971,2021-01-14
"302",102,"Hal Indah Butuh Waktu Untuk Datang","Idgitaf",43916,2021-01-14
"303",103,"I CAN'T STOP ME","TWICE",43765,2021-01-14
"304",104,"Intentions (feat. Quavo)","Justin Bieber",43663,2021-01-14
"305",105,"comethru","Jeremy Zucker",43575,2021-01-14
"306",106,"Sweet Scar","Weird Genius, Prince Husein, Eka Gustiwana, Reza Oktovian, Billy Taner",43284,2021-01-14
"307",107,"Afterglow","Ed Sheeran",42954,2021-01-14
"308",108,"Dandelions","Ruth B.",42562,2021-01-14
"309",109,"Perlahan","Guyon Waton",42376,2021-01-14
"310",110,"Say You Won't Let Go","James Arthur",42175,2021-01-14
"311",111,"Fly Me to the Moon","The Macarons Project",42117,2021-01-14
"312",112,"Lebih Dari Egoku","Mawar de Jongh",42080,2021-01-14
"313",113,"Bicara (feat. Monita Tahalea)","TheOvertunes",41799,2021-01-14
"314",114,"Lara","Dialog Senja",41784,2021-01-14
"315",115,"Melawan Hati","Fiersa Besari, Prinsa Mandagie",40925,2021-01-14
"316",116,"Night Changes","One Direction",40829,2021-01-14
"317",117,"Selamat (Selamat Tinggal)","Virgoun, Audy",40776,2021-01-14
"318",118,"Untuk Perempuan Yang Sedang Di Pelukan","Payung Teduh",39999,2021-01-14
"319",119,"April","Fiersa Besari",39760,2021-01-14
"320",120,"Cinta Luar Biasa","Andmesh",39578,2021-01-14
"321",121,"Halu","FePutri",39453,2021-01-14
"322",122,"Mantra Cinta","Rizky Febian",39199,2021-01-14
"323",123,"Bad Liar","Imagine Dragons",39169,2021-01-14
"324",124,"Dan...","Sheila On 7",38991,2021-01-14
"325",125,"death bed (coffee for your head)","Powfu, beabadoobee",38917,2021-01-14
"326",126,"Best Part (feat. Daniel Caesar)","H.E.R.",38645,2021-01-14
"327",127,"Kangen","Dewa 19",38644,2021-01-14
"328",128,"10,000 Hours (with Justin Bieber)","Dan + Shay",38336,2021-01-14
"329",129,"Pretty Savage","BLACKPINK",38049,2021-01-14
"330",130,"Okay Dokey","MINO, ZICO",37909,2021-01-14
"331",131,"Rayu","Marion Jola, Laleilmanino",37610,2021-01-14
"332",132,"Vibez","ZAYN",37497,2021-01-14
"333",133,"Future","Red Velvet",37488,2021-01-14
"334",134,"Running","Gaho",37201,2021-01-14
"335",135,"Play Date","Melanie Martinez",37100,2021-01-14
"336",136,"Monokrom","Tulus",36880,2021-01-14
"337",137,"Ruang Rindu","Letto",36862,2021-01-14
"338",138,"Blue & Grey","BTS",36447,2021-01-14
"339",139,"Therefore I Am","Billie Eilish",35891,2021-01-14
"340",140,"I Like Me Better","Lauv",35792,2021-01-14
"341",141,"Sorry","Pamungkas",35406,2021-01-14
"342",142,"Mmmh","KAI",35274,2021-01-14
"343",143,"Weak","SWV",35263,2021-01-14
"344",144,"Tak Sanggup Melupa #terlanjurmencinta","Ziva Magnolya",35224,2021-01-14
"345",145,"pov","Ariana Grande",35024,2021-01-14
"346",146,"It's You","Ali Gatie",34608,2021-01-14
"347",147,"Jangan Rubah Takdirku","Andmesh",34423,2021-01-14
"348",148,"Januari","Glenn Fredly",34338,2021-01-14
"349",149,"Strawberries & Cigarettes","Troye Sivan",34258,2021-01-14
"350",150,"lovely (with Khalid)","Billie Eilish",33895,2021-01-14
"351",151,"Best Friend","Rex Orange County",33836,2021-01-14
"352",152,"You","Ten2Five",33677,2021-01-14
"353",153,"I LOVE YOU","TREASURE",33642,2021-01-14
"354",154,"Sit Still, Look Pretty","Daya",33419,2021-01-14
"355",155,"Kartonyono Medot Janji","Denny Caknan",33398,2021-01-14
"356",156,"Be Alright","Dean Lewis",33394,2021-01-14
"357",157,"Kenangan Terindah","SAMSONS",33373,2021-01-14
"358",158,"Soulmate","Kahitna",33341,2021-01-14
"359",159,"cigarettes of ours","Ardhito Pramono",33329,2021-01-14
"360",160,"Tukar Jiwa","Tulus",33265,2021-01-14
"361",161,"Genius (feat. Sia, Diplo, and Labrinth)","Sia, LSD",33245,2021-01-14
"362",162,"Wonder","Shawn Mendes",33212,2021-01-14
"363",163,"If the World Was Ending - feat. Julia Michaels","JP Saxe",33193,2021-01-14
"364",164,"Langit Abu-Abu","Tulus",33052,2021-01-14
"365",165,"Fana Merah Jambu","Fourtwnty",32938,2021-01-14
"366",166,"Nyaman","Andmesh",32683,2021-01-14
"367",167,"Membasuh","Hindia, Rara Sekar",32615,2021-01-14
"368",168,"Sekali Ini Saja","Glenn Fredly",32568,2021-01-14
"369",169,"Beranjak Dewasa","Nadin Amizah",32454,2021-01-14
"370",170,"Amin Paling Serius","Sal Priadi, Nadin Amizah",32397,2021-01-14
"371",171,"Rindu Dalam Hati","Arsy Widianto, Brisia Jodie",32195,2021-01-14
"372",172,"Cinta Dan Rahasia","Yura Yunita, Glenn Fredly",32135,2021-01-14
"373",173,"Panorama","IZ*ONE",32059,2021-01-14
"374",174,"Not Shy","ITZY",32012,2021-01-14
"375",175,"Pilu Membiru","Kunto Aji",31954,2021-01-14
"376",176,"Dancing in My Room","347aidan",31941,2021-01-14
"377",177,"RESONANCE","NCT 2020",31837,2021-01-14
"378",178,"From Home","NCT U",31818,2021-01-14
"379",179,"Indah Pada Waktunya","Rizky Febian, Aisyah Aziz",31654,2021-01-14
"380",180,"I.F.L.Y.","Bazzi",31591,2021-01-14
"381",181,"Señorita","Shawn Mendes, Camila Cabello",31508,2021-01-14
"382",182,"Mariposa","Peach Tree Rascals",31429,2021-01-14
"383",183,"You Are The Reason","Calum Scott",31411,2021-01-14
"384",184,"Hadal Ahbek","Issam Alnajjar",31278,2021-01-14
"385",185,"Levitating (feat. DaBaby)","Dua Lipa",31187,2021-01-14
"386",186,"Takkan Terganti","Marcell",31096,2021-01-14
"387",187,"Bad Liar","Anna Hamilton",30859,2021-01-14
"388",188,"MAGO","GFRIEND",30794,2021-01-14
"389",189,"Harusnya Aku","Armada",30734,2021-01-14
"390",190,"Location Unknown <U+25D0> (feat. BEKA) - Brooklyn Session","HONNE",30707,2021-01-14
"391",191,"Blinding Lights","The Weeknd",30609,2021-01-14
"392",192,"Given-Taken","ENHYPEN",30486,2021-01-14
"393",193,"Kala Cinta Menggoda","Noah",30453,2021-01-14
"394",194,"My Everything","NCT U",30328,2021-01-14
"395",195,"Jikalau Kau Cinta","Judika",30300,2021-01-14
"396",196,"Hitam Putih","Fourtwnty",30147,2021-01-14
"397",197,"Make You Mine","PUBLIC",30086,2021-01-14
"398",198,"Without Me","Halsey",29907,2021-01-14
"399",199,"Hampa","Ari Lasso",29900,2021-01-14
"400",200,"Perfect","Ed Sheeran",29776,2021-01-14
"401",1,"Bertaut","Nadin Amizah",315964,2021-01-21
"402",2,"At My Worst","Pink Sweat$",299868,2021-01-21
"403",3,"Blue Jeans","GANGGA",271427,2021-01-21
"404",4,"Mungkin Hari Ini Esok Atau Nanti","Anneth",270968,2021-01-21
"405",5,"drivers license","Olivia Rodrigo",243839,2021-01-21
"406",6,"Melukis Senja","Budi Doremi",222015,2021-01-21
